Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
56B,1,64,50,31628.635,7448.684,2688.91,1602.826,1617.999,1061.699,White LED,100 mA,b'OK Read',9:54:58
56B,1,64,100,7453.631,1821.316,781.724,558.632,615.884,469.832,White LED,12.5 mA,b'OK Read',9:54:59
56B,1,64,100,14340.799,3431.771,1319.506,850.912,902.948,637.63,White LED,25 mA,b'OK Read',9:55:00
56B,1,64,100,26749.177,6349.568,2303.592,1390.687,1424.883,942.716,White LED,50 mA,b'OK Read',9:55:02
56B,1,64,100,31703.923,7472.406,2711.087,1616.969,1625.828,1064.75,White LED,100 mA,b'OK Read',9:55:03
56B,1,64,150,7450.045,1815.166,783.572,557.846,615.883,471.866,White LED,12.5 mA,b'OK Read',9:55:04
56B,1,64,150,14307.339,3414.2,1317.659,850.126,901.208,638.647,White LED,25 mA,b'OK Read',9:55:05
56B,1,64,150,26621.305,6317.06,2304.516,1390.687,1419.664,939.665,White LED,50 mA,b'OK Read',9:55:07
56B,1,64,150,31717.07,7475.042,2727.719,1623.254,1628.438,1063.733,White LED,100 mA,b'OK Read',9:55:08
56B,1,64,200,7441.083,1808.138,783.11,557.453,617.188,472.883,White LED,12.5 mA,b'OK Read',9:55:09
56B,1,64,200,14295.985,3409.367,1316.735,849.733,901.643,637.63,White LED,25 mA,b'OK Read',9:55:10
56B,1,64,200,26573.503,6310.032,2302.206,1389.509,1420.968,939.664,White LED,50 mA,b'OK Read',9:55:11
56B,1,64,200,31723.643,7490.856,2731.878,1625.218,1632.352,1064.75,White LED,100 mA,b'OK Read',9:55:12
56B,1,64,250,7427.101,1808.138,780.616,557.218,615.884,472.273,White LED,12.5 mA,b'OK Read',9:55:14
56B,1,64,250,14287.739,3409.631,1316.18,848.555,900.86,638.24,White LED,25 mA,b'OK Read',9:55:15
56B,1,64,250,26487.457,6296.326,2295.276,1386.916,1418.62,937.224,White LED,50 mA,b'OK Read',9:55:16
56B,1,64,250,31741.928,7487.693,2735.481,1627.34,1633.657,1066.58,White LED,100 mA,b'OK Read',9:55:18
56B,2,64,50,7493.068,1813.409,776.181,556.275,615.884,475.934,White LED,12.5 mA,b'OK Read',9:55:22
56B,2,64,50,14376.652,3415.957,1308.418,843.841,902.948,640.681,White LED,25 mA,b'OK Read',9:55:23
56B,2,64,50,26845.977,6325.846,2289.732,1385.973,1424.883,945.766,White LED,50 mA,b'OK Read',9:55:24
56B,2,64,50,31664.487,7427.597,2683.366,1598.112,1623.218,1061.699,White LED,100 mA,b'OK Read',9:55:26
56B,2,64,100,7460.802,1816.045,781.724,556.275,615.884,472.883,White LED,12.5 mA,b'OK Read',9:55:27
56B,2,64,100,14312.118,3413.321,1313.963,848.555,902.948,640.681,White LED,25 mA,b'OK Read',9:55:29
56B,2,64,100,26695.401,6315.303,2292.504,1385.973,1422.273,942.716,White LED,50 mA,b'OK Read',9:55:30
56B,2,64,100,31700.339,7446.048,2702.771,1609.897,1625.828,1064.75,White LED,100 mA,b'OK Read',9:55:31
56B,2,64,150,7440.485,1809.895,781.725,557.846,617.623,473.9,White LED,12.5 mA,b'OK Read',9:55:33
56B,2,64,150,14297.778,3401.899,1313.962,848.555,902.948,640.68,White LED,25 mA,b'OK Read',9:55:34
56B,2,64,150,26597.404,6287.188,2291.58,1384.402,1421.403,939.665,White LED,50 mA,b'OK Read',9:55:35
56B,2,64,150,31712.288,7443.412,2712.935,1615.397,1628.438,1063.733,White LED,100 mA,b'OK Read',9:55:36
56B,2,64,200,7433.912,1804.184,780.339,556.275,615.884,474.409,White LED,12.5 mA,b'OK Read',9:55:38
56B,2,64,200,14287.022,3398.825,1313.962,847.376,900.338,640.68,White LED,25 mA,b'OK Read',9:55:39
56B,2,64,200,26550.198,6279.72,2289.732,1383.616,1418.359,938.139,White LED,50 mA,b'OK Read',9:55:40
56B,2,64,200,31711.094,7453.956,2719.403,1619.326,1631.047,1066.275,White LED,100 mA,b'OK Read',9:55:42
56B,2,64,250,7432.836,1801.812,780.616,556.275,615.884,475.934,White LED,12.5 mA,b'OK Read',9:55:43
56B,2,64,250,14270.53,3395.925,1311.745,847.612,900.86,639.46,White LED,25 mA,b'OK Read',9:55:44
56B,2,64,250,26488.893,6271.022,2286.405,1381.259,1414.444,937.224,White LED,50 mA,b'OK Read',9:55:46
56B,2,64,250,31701.773,7457.118,2722.175,1621.683,1631.569,1066.58,White LED,100 mA,b'OK Read',9:55:47
56B,3,64,50,7500.239,1792.323,748.459,513.847,568.909,427.12,White LED,12.5 mA,b'OK Read',9:55:51
56B,3,64,50,14419.674,3394.871,1313.963,853.269,913.386,652.884,White LED,25 mA,b'OK Read',9:55:52
56B,3,64,50,26960.703,6420.733,2295.276,1395.402,1440.541,964.071,White LED,50 mA,b'OK Read',9:55:54
56B,3,64,50,31829.406,7496.128,2683.366,1607.541,1638.876,1080.004,White LED,100 mA,b'OK Read',9:55:55
56B,3,64,100,7496.653,1834.495,784.497,563.346,626.322,485.087,White LED,12.5 mA,b'OK Read',9:55:56
56B,3,64,100,14394.578,3452.858,1313.963,855.626,910.777,652.884,White LED,25 mA,b'OK Read',9:55:58
56B,3,64,100,26820.881,6383.833,2289.732,1390.687,1435.322,957.97,White LED,50 mA,b'OK Read',9:55:59
56B,3,64,100,31861.672,7519.85,2699.999,1616.969,1641.486,1083.055,White LED,100 mA,b'OK Read',9:56:01
56B,3,64,150,7471.557,1827.467,783.572,562.56,624.582,484.07,White LED,12.5 mA,b'OK Read',9:56:02
56B,3,64,150,14359.922,3438.8,1315.811,854.841,911.647,652.884,White LED,25 mA,b'OK Read',9:56:03
56B,3,64,150,26693.01,6346.932,2287.884,1387.544,1435.322,951.868,White LED,50 mA,b'OK Read',9:56:05
56B,3,64,150,31925.01,7545.329,2714.783,1624.826,1644.096,1086.106,White LED,100 mA,b'OK Read',9:56:06
56B,3,64,200,7457.216,1818.681,781.724,560.989,623.712,485.087,White LED,12.5 mA,b'OK Read',9:56:07
56B,3,64,200,14355.14,3390.917,1316.735,855.626,908.167,652.884,White LED,25 mA,b'OK Read',9:56:09
56B,3,64,200,26648.792,6223.051,2289.732,1389.509,1428.797,953.393,White LED,50 mA,b'OK Read',9:56:10
56B,3,64,200,31893.94,7345.889,2719.403,1621.683,1638.876,1073.902,White LED,100 mA,b'OK Read',9:56:11
56B,3,64,250,7470.123,1773.346,785.051,564.76,628.41,490.578,White LED,12.5 mA,b'OK Read',9:56:13
56B,3,64,250,14337.932,3332.667,1317.289,855.155,915.474,655.324,White LED,25 mA,b'OK Read',9:56:14
56B,3,64,250,26620.826,6226.741,2288.623,1386.916,1428.015,948.207,White LED,50 mA,b'OK Read',9:56:16
56B,3,64,250,31914.016,7399.131,2718.849,1616.026,1619.043,1062.919,White LED,100 mA,b'OK Read',9:56:17
56B,4,64,50,7528.921,1792.323,759.548,532.704,589.787,451.527,White LED,12.5 mA,b'OK Read',9:56:21
56B,4,64,50,14448.355,3379.056,1286.241,824.984,876.851,622.375,White LED,25 mA,b'OK Read',9:56:23
56B,4,64,50,27003.725,6252.044,2267.555,1357.688,1398.786,921.36,White LED,50 mA,b'OK Read',9:56:24
56B,4,64,50,31822.236,7337.981,2661.189,1574.541,1597.121,1037.292,White LED,100 mA,b'OK Read',9:56:26
56B,4,64,100,7485.898,1792.323,759.548,532.704,589.787,448.476,White LED,12.5 mA,b'OK Read',9:56:27
56B,4,64,100,14390.993,3371.149,1291.786,824.984,871.632,616.274,White LED,25 mA,b'OK Read',9:56:28
56B,4,64,100,26820.881,6249.409,2264.783,1355.331,1393.567,915.258,White LED,50 mA,b'OK Read',9:56:30
56B,4,64,100,31908.281,7382.79,2683.366,1593.398,1615.39,1055.597,White LED,100 mA,b'OK Read',9:56:31
56B,4,64,150,7471.557,1795.837,768.788,545.275,603.705,465.764,White LED,12.5 mA,b'OK Read',9:56:32
