Fruit,Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,Fruit 1 spot 2,1,64,150,7634.086,1172.039,985.01,586.132,461.043,260.34,White LED,12.5 mA,b'OK Read',09:07:58,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,150,14785.365,2294.876,1894.25,1120.407,852.494,477.968,White LED,25 mA,b'OK Read',09:07:59,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,150,24197.71,3914.996,3261.805,1948.534,1390.087,781.02,White LED,50 mA,b'OK Read',09:08:00,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,150,27474.583,4572.181,3797.739,2276.956,1593.642,890.851,White LED,100 mA,b'OK Read',09:08:01,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,200,7622.135,1172.917,985.472,588.096,460.608,260.849,White LED,12.5 mA,b'OK Read',09:08:03,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,200,14763.854,2306.298,1901.642,1127.871,854.669,478.985,White LED,25 mA,b'OK Read',09:08:04,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,200,24223.403,3953.654,3290.45,1969.355,1398.786,784.071,White LED,50 mA,b'OK Read',09:08:05,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,200,27521.787,4603.371,3817.144,2291.098,1602.341,892.376,White LED,100 mA,b'OK Read',09:08:06,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,250,7627.872,1173.445,986.858,589.274,460.347,259.933,White LED,12.5 mA,b'OK Read',09:08:07,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,250,14740.908,2307.88,1903.859,1131.407,855.974,479.595,White LED,25 mA,b'OK Read',09:08:09,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,250,24248.859,3971.577,3304.311,1979.019,1404.006,785.901,White LED,50 mA,b'OK Read',09:08:11,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,1,64,250,27504.221,4618.922,3822.133,2294.87,1601.297,893.292,White LED,100 mA,b'OK Read',09:08:13,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,50,7665.158,1180.824,981.313,584.56,459.303,262.374,White LED,12.5 mA,b'OK Read',09:08:17,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,50,14828.388,2298.391,1885.009,1117.264,855.974,475.934,White LED,25 mA,b'OK Read',09:08:18,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,50,24142.737,3858.766,3176.795,1890.392,1377.909,768.816,White LED,50 mA,b'OK Read',09:08:20,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,50,27390.928,4428.092,3636.959,2168.529,1565.805,872.545,White LED,100 mA,b'OK Read',09:08:21,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,100,7632.891,1175.553,984.086,586.917,459.303,259.323,White LED,12.5 mA,b'OK Read',09:08:22,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,100,14771.024,2293.119,1876.693,1110.193,850.754,475.934,White LED,25 mA,b'OK Read',09:08:23,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,100,24157.078,3848.223,3185.111,1895.106,1377.909,774.918,White LED,50 mA,b'OK Read',09:08:24,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,100,27416.026,4467.629,3697.945,2210.957,1576.244,881.698,White LED,100 mA,b'OK Read',09:08:25,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,150,7614.965,1170.282,981.314,584.56,459.303,260.34,White LED,12.5 mA,b'OK Read',09:08:26,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,150,14720.832,2293.119,1883.161,1115.693,850.754,477.968,White LED,25 mA,b'OK Read',09:08:27,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,150,24178.589,3906.21,3237.781,1934.391,1390.087,781.02,White LED,50 mA,b'OK Read',09:08:28,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,150,27436.341,4554.609,3768.171,2261.242,1588.423,888.817,White LED,100 mA,b'OK Read',09:08:29,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,200,7614.965,1172.917,984.086,586.917,460.608,260.849,White LED,12.5 mA,b'OK Read',09:08:30,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,200,14731.587,2302.345,1891.94,1123.157,852.059,478.985,White LED,25 mA,b'OK Read',09:08:31,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,200,24176.797,3941.793,3268.274,1956.39,1394.872,782.545,White LED,50 mA,b'OK Read',09:08:32,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,200,27455.461,4587.557,3794.967,2278.134,1595.817,890.851,White LED,100 mA,b'OK Read',09:08:34,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,250,7607.794,1173.445,985.749,588.331,460.347,259.933,White LED,12.5 mA,b'OK Read',09:08:35,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,250,14729.435,2303.662,1898.315,1128.578,851.798,478.375,White LED,25 mA,b'OK Read',09:08:37,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,250,24207.269,3954.708,3285.46,1968.648,1396.698,784.681,White LED,50 mA,b'OK Read',09:08:39,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,2,64,250,27481.275,4598.89,3805.501,2285.441,1600.253,892.071,White LED,100 mA,b'OK Read',09:08:41,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,50,7650.816,1180.824,981.313,589.274,459.303,262.374,White LED,12.5 mA,b'OK Read',09:08:45,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,50,14814.046,2298.391,1879.465,1112.55,855.974,475.934,White LED,25 mA,b'OK Read',09:08:46,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,50,24135.567,3842.951,3160.162,1876.249,1377.909,768.816,White LED,50 mA,b'OK Read',09:08:47,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,50,27376.587,4401.735,3614.782,2154.387,1560.586,872.545,White LED,100 mA,b'OK Read',09:08:48,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,100,7614.964,1172.917,984.086,586.917,459.303,259.323,White LED,12.5 mA,b'OK Read',09:08:49,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,100,14763.854,2287.848,1873.921,1107.836,850.754,475.934,White LED,25 mA,b'OK Read',09:08:50,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,100,24149.907,3835.044,3171.251,1888.035,1375.299,774.918,White LED,50 mA,b'OK Read',09:08:51,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,100,27408.855,4449.178,3678.54,2199.171,1573.635,881.698,White LED,100 mA,b'OK Read',09:08:52,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 2,3,64,150,7610.185,1168.524,981.314,586.132,459.303,260.34,White LED,12.5 mA,b'OK Read',09:08:53,2,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
