Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
12B,2,64,150,2810.996,2200.509,5000.725,5957.593,9222.538,5630.298,White LED,12.5 mA,b'OK Read',09:52:26
12B,2,64,150,5408.624,4256.889,9770.647,11604.465,17617.534,10329.854,White LED,25 mA,b'OK Read',09:52:27
12B,2,64,150,10134.073,7967.71,18365.81,21791.665,32653.324,18705,White LED,50 mA,b'OK Read',09:52:28
12B,2,64,150,13064.478,10229.119,23736.893,28161.439,42019.03,23939.465,White LED,100 mA,b'OK Read',09:52:29
12B,2,64,200,2812.954,2203.046,4989.095,5953.234,9211.918,5642.907,White LED,12.5 mA,b'OK Read',09:52:31
12B,2,64,200,5427.709,4249.276,9758.123,11600.899,17615.568,10335.586,White LED,25 mA,b'OK Read',09:52:32
12B,2,64,200,10163.925,7951.977,18319.292,21747.673,32601.011,18701.942,White LED,50 mA,b'OK Read',09:52:33
12B,2,64,200,13138.374,10226.581,23717.659,28149.153,42021.782,23965.447,White LED,100 mA,b'OK Read',09:52:34
12B,2,64,250,2823.525,2196.043,4991.779,5955.373,9225.37,5653.223,White LED,12.5 mA,b'OK Read',09:52:36
12B,2,64,250,5443.859,4266.632,9746.315,11605.417,17612.5,10359.198,White LED,25 mA,b'OK Read',09:52:38
12B,2,64,250,10184.185,7965.68,18282.793,21719.375,32541.307,18699.191,White LED,50 mA,b'OK Read',09:52:39
12B,2,64,250,13156.873,10233.584,23698.606,28132.268,41992.285,23976.449,White LED,100 mA,b'OK Read',09:52:41
12B,3,64,50,2818.827,2210.659,5018.617,5968.69,9194.22,5566.109,White LED,12.5 mA,b'OK Read',09:52:46
12B,3,64,50,5414.496,4269.069,9790.328,11633.002,17661.586,10398.629,White LED,25 mA,b'OK Read',09:52:47
12B,3,64,50,10153.648,8026.58,18469.583,21901.05,32845.264,18867,White LED,50 mA,b'OK Read',09:52:48
12B,3,64,50,12960.73,10212.879,23697.531,28074.246,41968.687,23951.692,White LED,100 mA,b'OK Read',09:52:49
12B,3,64,100,2818.827,2207.614,4997.146,5956.801,9250.857,5715.119,White LED,12.5 mA,b'OK Read',09:52:50
12B,3,64,100,5426.242,4275.158,9747.388,11599.709,17630.907,10419.26,White LED,25 mA,b'OK Read',09:52:51
12B,3,64,100,10153.648,7999.175,18359.548,21796.421,32701.308,18834.906,White LED,50 mA,b'OK Read',09:52:52
12B,3,64,100,13022.391,10228.104,23662.644,28083.757,41930.928,23999.834,White LED,100 mA,b'OK Read',09:52:53
12B,3,64,150,2818.827,2208.629,4988.201,5949.667,9249.284,5735.751,White LED,12.5 mA,b'OK Read',09:52:54
12B,3,64,150,5422.326,4267.039,9731.286,11577.515,17620.68,10429.195,White LED,25 mA,b'OK Read',09:52:55
12B,3,64,150,10137.988,7961.62,18296.033,21717.155,32618.711,18801.283,White LED,50 mA,b'OK Read',09:52:56
12B,3,64,150,13052.733,10208.818,23667.116,28052.051,41960.817,24002.126,White LED,100 mA,b'OK Read',09:52:57
12B,3,64,200,2817.358,2198.479,4985.07,5942.533,9252.037,5747.214,White LED,12.5 mA,b'OK Read',09:52:58
12B,3,64,200,5414.496,4249.276,9727.26,11565.229,17621.467,10437.6,White LED,25 mA,b'OK Read',09:52:59
12B,3,64,200,10140.435,7947.41,18257.566,21672.766,32539.653,18776.448,White LED,50 mA,b'OK Read',09:53:00
12B,3,64,200,13082.586,10223.536,23611.653,28031.443,41921.484,24026.196,White LED,100 mA,b'OK Read',09:53:02
12B,3,64,250,2823.525,2205.787,4978.897,5944.911,9248.97,5764.178,White LED,12.5 mA,b'OK Read',09:53:04
12B,3,64,250,5427.416,4277.594,9716.257,11571.174,17585.125,10437.142,White LED,25 mA,b'OK Read',09:53:06
12B,3,64,250,10136.03,7946.192,18221.604,21632.816,32497.883,18742.289,White LED,50 mA,b'OK Read',09:53:07
12B,3,64,250,13096.973,10200.698,23601.99,28012.42,41896.941,23995.707,White LED,100 mA,b'OK Read',09:53:09
12B,4,64,50,2812.954,2222.838,4997.146,5959.179,9203.659,5648.637,White LED,12.5 mA,b'OK Read',09:53:12
12B,4,64,50,5420.368,4281.248,9758.123,11609.221,17652.146,10453.647,White LED,25 mA,b'OK Read',09:53:13
12B,4,64,50,10130.158,8002.22,18415.907,21853.491,32807.505,18903.679,White LED,50 mA,b'OK Read',09:53:14
12B,4,64,50,12966.603,10225.058,23676.062,28069.49,41959.243,24006.711,White LED,100 mA,b'OK Read',09:53:15
12B,4,64,100,2815.89,2210.659,4989.095,5947.289,9250.857,5740.336,White LED,12.5 mA,b'OK Read',09:53:16
12B,4,64,100,5414.496,4266.023,9739.336,11580.686,17616.747,10428.43,White LED,25 mA,b'OK Read',09:53:17
12B,4,64,100,10124.285,7980.905,18332.711,21758.374,32649.39,18821.151,White LED,50 mA,b'OK Read',09:53:18
12B,4,64,100,13001.837,10222.014,23673.379,28052.844,41923.848,23981.494,White LED,100 mA,b'OK Read',09:53:19
12B,4,64,150,2812.954,2200.509,4982.833,5935.399,9230.405,5720.468,White LED,12.5 mA,b'OK Read',09:53:20
12B,4,64,150,5402.751,4256.889,9724.128,11558.491,17582.922,10398.629,White LED,25 mA,b'OK Read',09:53:22
12B,4,64,150,10110.583,7955.53,18272.773,21677.523,32536.901,18750.848,White LED,50 mA,b'OK Read',09:53:23
12B,4,64,150,13029.243,10208.818,23634.91,28026.686,41888.447,23966.974,White LED,100 mA,b'OK Read',09:53:24
12B,4,64,200,2811.486,2196.956,4975.677,5929.454,9214.279,5699.072,White LED,12.5 mA,b'OK Read',09:53:25
12B,4,64,200,5404.219,4249.276,9709.816,11546.206,17560.109,10369.973,White LED,25 mA,b'OK Read',09:53:26
12B,4,64,200,10108.136,7933.707,18225.361,21626.396,32464.136,18690.48,White LED,50 mA,b'OK Read',09:53:27
12B,4,64,200,13060.563,10197.654,23608.967,28004.097,41855.41,23935.644,White LED,100 mA,b'OK Read',09:53:29
12B,4,64,250,2805.907,2191.171,4971.382,5924.935,9196.107,5663.31,White LED,12.5 mA,b'OK Read',09:53:30
12B,4,64,250,5401.577,4242.273,9703.374,11535.029,17536.039,10329.854,White LED,25 mA,b'OK Read',09:53:32
12B,4,64,250,10103.145,7920.614,18192.619,21583.356,32393.104,18622.164,White LED,50 mA,b'OK Read',09:53:34
12B,4,64,250,13052.342,10176.339,23596.623,27963.908,41785.555,23855.408,White LED,100 mA,b'OK Read',09:53:36
12C,1,64,50,3529.406,2521.247,5807.64,6349.165,9472.689,5433.146,White LED,12.5 mA,b'OK Read',09:53:48
12C,1,64,50,6782.802,4847.615,11346.904,12332.123,18119.408,9940.136,White LED,25 mA,b'OK Read',09:53:49
