Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
38B,4,64,250,37169.918,7090.219,2824.188,1854.564,2075.214,1258.174,White LED,50 mA,b'OK Read',09:48:05
38B,4,64,250,48403.066,9304.266,3669.115,2377.84,2573.14,1543.735,White LED,100 mA,b'OK Read',09:48:07
38C,1,64,50,8833.933,1639.448,942.505,744.842,855.974,652.884,White LED,12.5 mA,b'OK Read',09:48:22
38C,1,64,50,16929.314,3184.01,1635.523,1169.12,1247.425,872.545,White LED,25 mA,b'OK Read',09:48:23
38C,1,64,50,31635.806,6141.342,2960.573,1979.961,1972.915,1275.259,White LED,50 mA,b'OK Read',09:48:24
38C,1,64,50,40892.791,7965.295,3808.828,2503.237,2426.999,1531.531,White LED,100 mA,b'OK Read',09:48:25
38C,1,64,100,8765.814,1686.892,978.542,770.771,863.803,655.935,White LED,12.5 mA,b'OK Read',09:48:26
38C,1,64,100,16854.025,3220.91,1646.611,1173.834,1252.644,872.546,White LED,25 mA,b'OK Read',09:48:27
38C,1,64,100,31417.107,6085.991,2935.625,1961.105,1965.086,1269.157,White LED,50 mA,b'OK Read',09:48:28
38C,1,64,100,40899.961,7962.659,3817.144,2505.594,2429.608,1537.633,White LED,100 mA,b'OK Read',09:48:29
38C,1,64,150,8728.767,1674.592,975.769,769.985,861.193,654.918,White LED,12.5 mA,b'OK Read',09:48:30
38C,1,64,150,16766.785,3191.038,1629.979,1162.834,1247.425,870.512,White LED,25 mA,b'OK Read',09:48:32
38C,1,64,150,31229.482,6046.455,2906.98,1942.248,1957.257,1263.056,White LED,50 mA,b'OK Read',09:48:33
38C,1,64,150,40878.45,7949.48,3803.284,2487.523,2432.218,1531.531,White LED,100 mA,b'OK Read',09:48:34
38C,1,64,200,8717.414,1667.124,971.611,766.057,858.583,652.884,White LED,12.5 mA,b'OK Read',09:48:35
38C,1,64,200,16764.396,3177.42,1621.662,1154.978,1243.511,866.444,White LED,25 mA,b'OK Read',09:48:36
38C,1,64,200,31191.24,6006.918,2882.955,1919.856,1950.733,1256.954,White LED,50 mA,b'OK Read',09:48:37
38C,1,64,200,40925.059,7919.169,3776.949,2465.523,2424.389,1526.955,White LED,100 mA,b'OK Read',09:48:38
38C,1,64,250,8729.245,1659.48,966.899,761.814,855.974,649.223,White LED,12.5 mA,b'OK Read',09:48:40
38C,1,64,250,16764.394,3166.086,1611.129,1145.549,1238.03,864.003,White LED,25 mA,b'OK Read',09:48:41
38C,1,64,250,31113.799,5968.436,2847.473,1891.335,1944.73,1252.072,White LED,50 mA,b'OK Read',09:48:43
38C,1,64,250,40889.922,7874.624,3733.427,2431.581,2418.648,1519.328,White LED,100 mA,b'OK Read',09:48:45
38C,2,64,50,8783.74,1623.634,936.961,740.129,850.755,646.782,White LED,12.5 mA,b'OK Read',09:48:52
38C,2,64,50,16871.95,3147.108,1607.802,1145.549,1231.767,866.444,White LED,25 mA,b'OK Read',09:48:53
38C,2,64,50,31542.591,5988.468,2866.323,1904.535,1946.818,1263.055,White LED,50 mA,b'OK Read',09:48:54
38C,2,64,50,40907.131,7775.52,3670.224,2394.811,2395.682,1513.226,White LED,100 mA,b'OK Read',09:48:55
38C,2,64,100,8755.058,1660.535,961.909,758.985,853.364,649.833,White LED,12.5 mA,b'OK Read',09:48:56
38C,2,64,100,16818.174,3162.923,1605.03,1143.192,1236.986,863.393,White LED,25 mA,b'OK Read',09:48:58
38C,2,64,100,31338.232,5933.117,2821.97,1876.249,1944.208,1256.954,White LED,50 mA,b'OK Read',09:48:59
38C,2,64,100,40892.791,7762.341,3675.768,2392.454,2403.512,1516.277,White LED,100 mA,b'OK Read',09:49:00
38C,2,64,150,8719.207,1646.477,959.137,755.842,850.754,646.782,White LED,12.5 mA,b'OK Read',09:49:01
38C,2,64,150,16778.735,3145.351,1596.714,1137.692,1235.246,860.342,White LED,25 mA,b'OK Read',09:49:02
