Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
38B,4,64,100,28355.635,18948.939,38391.074,37681.221,34551.48,11448.578,White LED,25 mA,b'OK Read',09:56:28
38B,4,64,100,52753.164,35196.978,71610.562,70314.024,64071.626,21131.958,White LED,50 mA,b'OK Read',09:56:29
38B,4,64,100,61476.846,41189.507,83274.151,82082.568,74419.844,24802.197,White LED,100 mA,b'OK Read',09:56:30
38B,4,64,150,14603.087,9833.271,19526.981,19290.045,17726.091,6038.357,White LED,12.5 mA,b'OK Read',09:56:31
38B,4,64,150,28315.504,19025.064,38137.907,37594.03,34361.901,11520.408,White LED,25 mA,b'OK Read',09:56:33
38B,4,64,150,52622.012,35340.091,71296.562,70069.095,63801.022,21096.807,White LED,50 mA,b'OK Read',09:56:34
38B,4,64,150,61607.018,40902.262,83677.604,82133.301,74760.456,24613.45,White LED,100 mA,b'OK Read',09:56:35
38B,4,64,200,14613.854,9727.203,19606.151,19292.424,17800.82,6000.532,White LED,12.5 mA,b'OK Read',09:56:36
38B,4,64,200,28351.228,18848.455,38295.801,37612.261,34492.483,11439.408,White LED,25 mA,b'OK Read',09:56:37
38B,4,64,200,52792.803,34983.828,71385.122,70056.016,63899.351,21023.064,White LED,50 mA,b'OK Read',09:56:38
38B,4,64,200,61836.538,41140.786,83398.945,77919.941,74569.697,24827.415,White LED,100 mA,b'Saturated Read',09:56:39
38B,4,64,250,14642.63,9751.259,19609.641,19324.289,17822.059,6079.622,White LED,12.5 mA,b'OK Read',09:56:40
38B,4,64,250,28378.537,19038.463,38111.43,37604.176,34362.215,11584.292,White LED,25 mA,b'OK Read',09:56:42
38B,4,64,250,52746.117,35370.543,70351.883,62335.953,61862.746,21272.256,White LED,50 mA,b'Saturated Read',09:56:44
38B,4,64,250,61896.734,41406.918,70351.883,62335.953,61862.746,24872.346,White LED,100 mA,b'Saturated Read',09:56:46
38C,1,64,50,8973.265,7661.182,15179.302,14843.253,13385.423,4539.084,White LED,12.5 mA,b'OK Read',09:56:53
38C,1,64,50,17435.617,15072.674,29703.769,29072.991,25996.797,8816.827,White LED,25 mA,b'OK Read',09:56:54
38C,1,64,50,32833.457,28324.448,56208.506,54826.343,48784.112,16391.137,White LED,50 mA,b'OK Read',09:56:55
38C,1,64,50,39158.198,33695.801,67276.299,65622.3,58275.679,19522.645,White LED,100 mA,b'OK Read',09:56:56
38C,1,64,100,9073.098,7755.576,15278.601,14924.104,13439.702,4591.811,White LED,12.5 mA,b'OK Read',09:56:57
38C,1,64,100,17532.515,15014.819,29738.657,29032.566,25975.557,8748.052,White LED,25 mA,b'OK Read',09:56:59
38C,1,64,100,32762.986,28089.983,55929.395,54540.986,48526.88,16230.664,White LED,50 mA,b'OK Read',09:57:00
38C,1,64,100,39240.415,33604.451,67214.575,65548.584,58219.043,19463.042,White LED,100 mA,b'OK Read',09:57:01
38C,1,64,150,9084.843,7760.651,15249.08,14900.324,13415.317,4586.462,White LED,12.5 mA,b'OK Read',09:57:02
38C,1,64,150,17570.685,15062.524,29700.192,28987.383,25940.158,8749.581,White LED,25 mA,b'OK Read',09:57:03
38C,1,64,150,32943.079,28279.788,55805.944,54483.916,48426.979,16259.702,White LED,50 mA,b'OK Read',09:57:04
38C,1,64,150,39528.171,33799.329,67242.305,65617.546,58252.083,19507.363,White LED,100 mA,b'OK Read',09:57:05
38C,1,64,200,9089.247,7760.143,15249.08,14900.323,13412.564,4587.226,White LED,12.5 mA,b'OK Read',09:57:06
38C,1,64,200,17626.475,15107.692,29707.795,29040.889,25944.878,8775.562,White LED,25 mA,b'OK Read',09:57:07
38C,1,64,200,33014.038,28309.221,55726.772,54441.113,48360.508,16265.05,White LED,50 mA,b'OK Read',09:57:08
38C,1,64,200,39774.817,33968.325,67296.426,65726.934,58309.897,19574.226,White LED,100 mA,b'OK Read',09:57:10
38C,1,64,250,9128.3,7800.033,15261.962,14926.006,13420.351,4601.439,White LED,12.5 mA,b'OK Read',09:57:11
38C,1,64,250,17711.627,15177.422,29733.826,29063.479,25961.869,8779.23,White LED,25 mA,b'OK Read',09:57:13
38C,1,64,250,33091.848,28312.268,55691.078,54370.727,48323.457,16213.241,White LED,50 mA,b'OK Read',09:57:15
38C,1,64,250,39979.184,34038.055,67450.203,62335.953,58439.93,19618.93,White LED,100 mA,b'Saturated Read',09:57:16
38C,2,64,50,9589.883,7545.472,15710.685,15204.704,13970.683,4548.254,White LED,12.5 mA,b'OK Read',10:01:17
38C,2,64,50,18527.912,14548.937,30680.655,29676.995,27077.637,8720.543,White LED,25 mA,b'OK Read',10:01:19
38C,2,64,50,34659.822,27197.803,57952.945,55953.501,50771.157,16203.154,White LED,50 mA,b'OK Read',10:01:20
38C,2,64,50,41812.593,32703.135,70341.143,67838.565,61508.76,19527.23,White LED,100 mA,b'OK Read',10:01:21
38C,2,64,100,9519.412,7402.358,15670.429,15119.097,13890.445,4440.508,White LED,12.5 mA,b'OK Read',10:01:23
38C,2,64,100,18386.971,14284.024,30584.041,29505.781,26959.641,8539.438,White LED,25 mA,b'OK Read',10:01:24
38C,2,64,100,34451.345,26762.371,57614.79,55506.44,50478.53,15895.963,White LED,50 mA,b'OK Read',10:01:26
38C,2,64,100,41856.641,32426.042,70325.044,67712.534,61511.118,19330.078,White LED,100 mA,b'OK Read',10:01:27
38C,2,64,150,9472.432,7326.233,15649.853,15093.732,13882.578,4432.102,White LED,12.5 mA,b'OK Read',10:01:29
38C,2,64,150,18353.693,14224.139,30514.261,29423.343,26901.429,8509.636,White LED,25 mA,b'OK Read',10:01:30
38C,2,64,150,34413.174,26655.796,57382.2,55265.475,50283.444,15807.321,White LED,50 mA,b'OK Read',10:01:31
38C,2,64,150,41963.324,32394.577,70280.312,67686.374,61483.587,19319.38,White LED,100 mA,b'OK Read',10:01:33
38C,2,64,200,9463.623,7307.963,15635.541,15066.781,13870.386,4421.022,White LED,12.5 mA,b'OK Read',10:01:34
38C,2,64,200,18315.032,14156.134,30490.107,29379.749,26880.583,8471.81,White LED,25 mA,b'OK Read',10:01:36
38C,2,64,200,34308.935,26492.888,57264.56,55090.298,50187.08,15667.862,White LED,50 mA,b'OK Read',10:01:37
38C,2,64,200,41932.983,32159.605,70299.546,67607.9,61515.84,19177.629,White LED,100 mA,b'OK Read',10:01:39
38C,2,64,250,9436.022,7247.064,15633.394,15066.781,13871.566,4409.789,White LED,12.5 mA,b'OK Read',10:01:40
38C,2,64,250,18309.453,14125.075,30519.629,29399.248,26925.658,8505.968,White LED,25 mA,b'OK Read',10:01:41
38C,2,64,250,34272.234,26341.553,57178.949,55014.68,50144.367,15694.227,White LED,50 mA,b'OK Read',10:01:42
38C,2,64,250,42005.215,32123.369,70291.766,62335.953,61535.191,19209.953,White LED,100 mA,b'Saturated Read',10:01:44
38C,3,64,50,9854.148,7983.949,15791.198,15437.744,14032.04,4717.896,White LED,12.5 mA,b'OK Read',10:01:55
38C,3,64,50,18921.373,15176.203,30798.74,30047.957,27153.155,8986.469,White LED,25 mA,b'OK Read',10:01:56
38C,3,64,50,35335.166,28239.187,58237.422,56609.82,50978.833,16592.874,White LED,50 mA,b'OK Read',10:01:58
38C,3,64,50,42646.499,33915.039,70840.322,68732.681,61862.749,19994.894,White LED,100 mA,b'OK Read',10:01:59
38C,3,64,100,9713.207,7667.271,15796.565,15302.2,13982.482,4527.622,White LED,12.5 mA,b'OK Read',10:02:00
38C,3,64,100,18736.388,14637.241,30879.253,29845.83,27153.154,8628.845,White LED,25 mA,b'OK Read',10:02:01
38C,3,64,100,35065.029,27237.388,58283.047,56191.294,50938.711,16010.587,White LED,50 mA,b'OK Read',10:02:02
38C,3,64,100,42696.416,33123.342,71202.627,68647.07,62138.857,19529.523,White LED,100 mA,b'OK Read',10:02:04
38C,3,64,150,9652.524,7472.392,15819.824,15266.53,13992.708,4459.612,White LED,12.5 mA,b'OK Read',10:02:05
38C,3,64,150,18706.047,14502.246,30863.151,29787.965,27138.994,8575.353,White LED,25 mA,b'OK Read',10:02:06
38C,3,64,150,35051.325,27179.533,58033.457,55953.496,50731.826,15940.285,White LED,50 mA,b'OK Read',10:02:07
38C,3,64,150,42848.122,33090.863,71180.267,68605.853,62134.922,19499.722,White LED,100 mA,b'OK Read',10:02:08
