Fruit,spot,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time,Fruit.1,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
25,3,64,50,0.57335712,0.603144773,0.669044989,0.408692328,0.484431789,0.890103065,0.582251732,0.623074704,0.773080628,0.762954998,1.504366249,0.777362783,1.606193028,1.445135894,0.97262797,1.099369736,0.63603376,0.571440957,b'White',100 mA,b'OK Read',13:08:43,25,67.47582661,395.1666671,2.198556569,12.87566697,17.07528297
26,1,64,50,0.489289203,0.440617244,0.449174613,0.370962057,0.42158956,0.584865716,0.572669674,0.625319314,0.635327834,0.765446178,1.066012196,0.73395716,1.084731523,0.967896157,0.765000433,0.787681359,0.612734012,0.550727833,b'White',100 mA,b'OK Read',13:18:11,26,86.92786926,504.9620412,2.064597106,11.99319824,17.21473342
26,2,64,50,0.523276134,0.453760752,0.45241102,0.391942938,0.44260355,0.595301295,0.570959557,0.615015726,0.659915752,0.747238949,1.068934169,0.743922007,1.132178369,0.982849787,0.774806904,0.845901391,0.617928685,0.55433146,b'White',100 mA,b'OK Read',13:31:08,26,86.92786926,504.9620412,2.064597106,11.99319824,17.21473342
26,3,64,50,0.537333638,0.468412531,0.466328231,0.395691052,0.444578125,0.60373115,0.5854932,0.625457727,0.661900678,0.743518754,1.114768284,0.755804662,1.183194256,1.035435521,0.791839145,0.916676119,0.623339409,0.574619281,b'White',100 mA,b'OK Read',13:40:12,26,86.92786926,504.9620412,2.064597106,11.99319824,17.21473342
27,1,64,50,0.506600109,0.447303793,0.438527931,0.375925697,0.42940142,0.574480183,0.550592677,0.606566872,0.666544862,0.74706789,1.234898937,0.746121163,1.243896007,1.117241381,0.851217031,1.024976409,0.612473549,0.547269498,b'White',100 mA,b'OK Read',08:44:35,27,82.70899173,433.7510888,2.955575942,15.49993847,19.06830758
27,2,64,50,0.516644989,0.431125234,0.418245592,0.379366386,0.42254589,0.54554214,0.557946759,0.599581788,0.666857478,0.726783657,1.342309167,0.757345069,1.273973901,1.192583508,0.938418848,1.122693894,0.603866944,0.536133948,b'White',100 mA,b'OK Read',08:54:17,27,82.70899173,433.7510888,2.955575942,15.49993847,19.06830758
27,3,64,50,0.518253208,0.427945631,0.413896176,0.386131685,0.428537817,0.553031518,0.570388508,0.625248124,0.68432533,0.772429864,1.490303087,0.80828507,1.324651374,1.217384812,0.950304128,1.115819262,0.627426404,0.551901003,b'White',100 mA,b'OK Read',09:02:47,27,82.70899173,433.7510888,2.955575942,15.49993847,19.06830758
28,1,64,50,0.509676105,0.420246694,0.392591565,0.381167322,0.427110796,0.529055269,0.52855843,0.580273408,0.616771187,0.671774154,1.074628571,0.743545879,1.14965288,0.961613752,0.790324374,0.90845304,0.564919527,0.521335624,b'White',100 mA,b'OK Read',09:12:10,28,57.2588949,305.1122931,3.021762393,16.10189744,18.76649882
28,2,64,50,0.527742263,0.515291076,0.549362601,0.38040388,0.440064883,0.702229257,0.51486897,0.558026843,0.68641179,0.653428151,1.539502149,0.711964381,1.56914854,1.474036221,0.981141399,1.127203182,0.572743182,0.511612199,b'White',100 mA,b'OK Read',09:20:08,28,57.2588949,305.1122931,3.021762393,16.10189744,18.76649882
28,3,64,50,0.453238423,0.426747586,0.45168766,0.359432809,0.399590391,0.551986636,0.489166193,0.523526782,0.603388242,0.621695197,1.227950964,0.655435672,1.267486434,1.182174318,0.886808858,1.02140635,0.547919647,0.47109235,b'White',100 mA,b'OK Read',09:28:23,28,57.2588949,305.1122931,3.021762393,16.10189744,18.76649882
